Testing download, to see how recv_wnd is affected.

[10511.386924] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.390440] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.391567] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.391598] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.392459] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.395054] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.395098] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.395111] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.395145] TCPLog: in_ack_event - cwnd=10, recv_wnd=1381, snd_wnd=45
[10511.395160] TCPLog: in_ack_event - cwnd=10, recv_wnd=1376, snd_wnd=45
[10511.395985] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.396593] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.397322] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.399426] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.399471] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.400607] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.400652] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.401445] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.403935] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.403972] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.404005] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.407403] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.407454] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.407469] TCPLog: in_ack_event - cwnd=10, recv_wnd=1383, snd_wnd=45
[10511.409910] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.409954] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.411153] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.412387] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.412429] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.413644] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.413685] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
